"mon_year","member_casual","num_rides"
"01-2022","member","85248"
"01-2022","casual","18517"
"02-2022","member","94190"
"02-2022","casual","21414"
"03-2022","member","194150"
"03-2022","casual","89874"
"04-2022","member","244820"
"04-2022","casual","126398"
"05-2022","member","354423"
"05-2022","casual","280387"
"06-2022","member","400116"
"06-2022","casual","369022"
"07-2022","member","417403"
"07-2022","casual","406013"
"08-2022","member","426969"
"08-2022","casual","358886"
"09-2022","member","404603"
"09-2022","casual","296664"
"10-2022","member","349659"
"10-2022","casual","208961"
"11-2022","member","236935"
"11-2022","casual","100742"
"12-2022","member","136901"
"12-2022","casual","44891"
